day,n_flagged,n_high_risk,mean_risk,max_risk,n_users,n_insiders_flagged
225,32,9,2.2798135632381396,8.186254430573527,190,0
226,26,6,2.2507517787838123,7.075361625085545,201,0
227,236,44,1.4040533317937298,7.646448742553772,3860,0
228,153,40,1.2126153709048293,7.467484632180996,3860,0
229,202,45,1.3903522007983578,8.072282833861554,3859,1
230,194,36,1.2949299150553315,8.447455162292062,3860,1
231,156,40,1.208733758181166,8.048605278518007,3856,1
232,41,18,2.382469934564936,9.370310700355166,213,1
233,12,1,1.9651481730938563,6.047189390202122,176,0
234,188,36,1.259904150880393,8.143411411588907,3855,1
235,134,28,1.1583801852225348,9.433790212788672,3855,1
236,118,25,1.089174137288961,9.559624595064548,3855,0
237,128,25,1.0603045236810078,7.665307503235116,3853,0
238,118,39,1.0604451074115693,7.525652479598899,3853,0
239,25,5,2.1303318212863522,7.494593483692523,175,0
240,27,4,2.1805063504887934,7.128515949549159,203,0
241,136,34,1.0183645006031639,7.596783801055589,3851,0
242,107,29,0.9862582076904028,7.851881649112752,3851,0
243,102,20,0.9616425315346336,7.343105210745192,3851,0
244,128,29,1.068480711665981,7.787241285808929,3850,0
245,109,18,0.9994552615470652,7.825255796560119,3851,0
246,25,6,2.1499333370081324,7.4455186925533825,177,0
247,31,5,2.183246699075008,7.439824374318072,195,0
248,17,4,1.9527307910199925,7.646132936688521,171,0
249,139,29,1.1253561897581255,7.939749447427498,3850,0
250,127,31,1.0618580307855643,8.241206481804063,3850,0
251,106,15,1.0502169585049979,7.516724078463202,3848,0
252,88,15,1.0217336209279873,7.378582916495628,3847,0
253,17,2,2.099008289323685,8.148833523521565,177,0
254,25,8,2.2147607470601725,7.073783118799551,199,0
255,144,19,1.1821187953456143,8.12193829955974,3844,0
256,181,27,1.3282699668618942,7.973591332037988,3842,0
257,246,54,1.4668628250375344,8.070449337657553,3841,0
258,171,30,1.3546006181974724,7.846562974813079,3840,0
259,154,25,1.3329300638629602,7.772776832299557,3839,0
260,23,3,2.063773192293947,7.319393945481111,186,0
261,17,2,1.9911447783129776,7.930435749556735,174,0
262,142,19,1.2722388697287277,7.877554059837833,3838,0
263,123,24,1.2351124487680476,7.775745563467518,3837,0
264,161,30,1.2546944938597684,7.569439485774008,3835,0
265,152,35,1.2275111083388102,7.475607053542292,3836,0
266,126,36,1.13564438738694,7.334077549818175,3835,0
267,26,7,2.0754659326009253,7.441411470306765,193,0
268,26,8,2.183360231709083,7.909762244837784,180,0
269,187,39,1.2880197606251136,8.072771079235816,3833,0
270,142,24,1.1780134374596747,7.407846264939959,3832,0
271,147,26,1.2134237100095577,7.894021244578645,3832,0
272,124,16,1.066933235883243,7.191139330912688,3831,0
273,143,29,1.1676141167278886,8.13433658966881,3830,0
274,69,35,2.9951699710670954,7.848129330363421,237,0
275,21,8,2.105206980725562,7.939849477500201,180,0
276,157,21,1.1222090081197273,7.872132185645902,3821,0
277,157,17,1.1959495439843157,8.065532236506389,3821,0
278,137,20,1.1325147939615294,7.397666200108499,3820,0
279,124,19,1.1493563034607321,7.968048003926012,3820,0
280,102,36,1.0700532687353967,7.647344549274595,3819,0
281,27,14,2.3569253446773915,7.5586112674150785,198,0
282,19,1,2.1030493433716737,6.524257691439102,184,0
283,124,21,1.045265894989107,7.649690196130284,3815,0
284,108,28,1.0312999789917603,7.798571043801282,3815,1
285,140,34,1.1116303337209197,7.472666502783686,3812,0
286,134,19,1.0966948478198415,7.916052157565383,3813,0
287,114,21,1.0668220825272694,7.574929673194713,3811,0
288,27,5,2.0119398185893886,7.3600197921827695,177,0
289,24,4,2.255679561247704,7.232440783541397,205,0
290,114,11,1.1395241681692838,7.435110999463149,3809,0
291,175,29,1.279924536163082,7.71832687815036,3810,0
292,176,29,1.3186383212437058,7.936135407471588,3808,0
293,336,87,1.5161179477836764,8.15501123063104,3806,0
294,183,32,1.2902980796685106,7.864803797205732,3806,0
295,20,9,1.9478060054285018,7.032223761105958,177,0
296,20,5,1.944396401023584,6.604444513568482,170,0
297,154,28,1.2468051767043984,7.569852432777671,3805,0
298,156,25,1.2262630321900359,8.2284179851859,3805,0
299,211,39,1.370602921357726,8.091863201171805,3803,0
300,241,44,1.4237522993125724,7.69795491741057,3803,0
301,132,16,1.209524840817173,7.599584996720152,3804,0
302,27,6,2.073640594671842,7.573237656944186,175,0
303,27,10,2.282042419482714,7.990174852117727,173,0
304,134,33,1.140975198865661,7.888785378966656,3803,0
305,125,15,1.166259640008332,7.341130349219701,3802,0
306,131,33,1.2153884887388091,8.070213528902105,3801,0
307,127,30,1.115773856098162,7.092761216943683,3802,0
308,141,34,1.181900466875315,7.6438403885535715,3801,0
309,66,36,2.865649987919859,7.719699290298001,245,0
310,26,7,2.2483768142438456,7.531248429764966,167,0
311,206,39,1.2912689910914559,7.917110957722739,3801,0
312,184,39,1.235193584541589,7.961383135521801,3801,0
313,219,45,1.3708290363202542,7.749659345545761,3798,0
314,177,30,1.2206888808472047,7.747140868653777,3797,0
315,204,31,1.2935702602540018,8.132698089149233,3795,0
316,73,40,2.8932382489891104,7.951602743681325,257,0
317,20,4,2.0794145253100904,6.95942627428582,180,0
318,184,36,1.2543256344765092,8.344870613960595,3791,0
319,164,26,1.2353184076505939,7.691896784152278,3789,0
320,206,39,1.3591971902524527,7.753365843414232,3787,0
321,221,47,1.3954276093679117,7.923267999742371,3787,0
322,125,20,1.184017706567955,7.8001343897014275,3787,0
323,33,9,2.36177829751362,7.54319299121816,202,0
324,33,5,2.3729453042824264,7.612136970840271,185,0
325,185,33,1.3121489105316306,7.850149723321508,3784,0
326,186,35,1.3396579610595516,7.975276963949152,3783,0
327,143,22,1.2094968556844943,7.515990850812749,3784,0
328,15,2,1.7034431340382532,6.521580821975189,169,0
329,12,3,1.7197203734218252,7.520557458638492,199,0
330,19,8,2.085435425351737,7.715579426497386,173,0
331,25,5,2.2291424509283626,7.104182325521655,177,0
332,157,43,1.210981161365225,7.952586659814181,3775,0
333,111,24,1.1002208800173316,7.38086857939141,3773,0
334,113,34,1.0452233188443398,7.435776938213276,3773,0
335,96,14,1.0301554963739317,7.155390506494575,3773,0
336,79,11,1.02823539804868,7.621875342149109,3770,0
337,21,6,2.02296397126873,7.970768054357284,181,0
338,22,6,2.2010205078071032,7.324920995994725,182,0
339,96,12,1.140121015760649,7.207351949356554,3767,0
340,85,17,1.0147505990106496,7.863583012307217,3766,0
341,67,7,1.0099978093972646,7.524263513339544,3763,0
342,82,16,1.078615196129326,7.8871868261833695,3763,0
343,80,17,1.0523976924776166,7.884354766629614,3761,0
344,23,7,1.9734604129717608,6.988271536162836,194,0
345,31,11,2.1609276373504485,7.456505987115645,189,0
346,121,24,1.180301784058903,8.432422486264848,3758,0
347,167,37,1.2719551590341969,7.880819760394455,3759,0
348,183,33,1.2618879174132256,7.970232209501749,3758,0
349,150,35,1.224447852151703,7.698611512112722,3756,0
350,149,34,1.17862852122651,7.589250302078168,3753,0
351,16,5,2.0230047513561606,7.046349043228395,178,0
352,26,5,2.176136262270555,7.524643506898881,172,0
353,189,38,1.3026471199588436,7.992296225282882,3751,0
354,193,47,1.274895993565662,8.43755582483838,3749,0
355,119,29,1.1225298518509492,7.445561107105391,3748,0
356,17,5,1.8754616875003263,7.017942547844382,172,0
357,16,3,1.7818988591276879,7.181264282741967,163,0
358,26,7,2.243783102904171,7.393707494284047,210,0
359,18,2,2.0467259632626775,6.649878881165169,188,0
360,139,26,1.0436851057344683,7.487206271966586,3745,0
361,100,9,1.1011694300948351,7.408380310974745,3744,0
362,95,20,0.9818150423718023,7.422876076236105,3744,0
363,90,19,0.9627465544002285,7.665902050121404,3743,0
364,18,5,1.848127665458843,7.113698787513022,193,0
365,19,6,2.1000267115488467,7.289311379708601,177,0
366,24,8,2.2426074567709517,7.601866054462785,175,0
367,93,18,1.0704829527820496,8.15625000094294,3739,0
368,78,13,0.9649931335984536,7.446426221438704,3739,0
369,78,15,0.9771462171511488,7.7151014757422045,3739,0
370,80,20,1.0055447279541667,7.800429266327659,3739,0
371,92,15,1.140121221441746,7.891844724828624,3739,0
372,58,17,2.5185470516142843,7.608479363873115,242,0
373,19,8,1.930005129756503,7.8623122160378305,189,0
374,112,27,1.0842379483270534,7.276819823512276,3737,0
375,125,36,1.08564638217,7.897998052602153,3735,0
376,130,21,1.1340468819081084,7.83142482686576,3733,0
377,157,35,1.2743060724522657,8.328980199167528,3732,0
378,157,31,1.2417387631649963,7.702759090688549,3731,0
379,39,16,2.4068938891480123,7.838734677821818,203,0
380,18,7,2.112298313280666,7.383134681674237,172,0
381,165,40,1.2704748180248806,7.462200550321315,3731,0
382,128,19,1.2005880529628863,7.137573550798334,3731,0
383,117,22,1.128659792817817,7.099109694390121,3731,0
384,105,20,1.1027186876625086,7.674234317778084,3731,0
385,116,15,1.1159936070033603,7.3251939183827055,3731,0
386,25,8,2.056055102137787,7.859001270177328,192,0
387,24,4,2.104077185565626,7.573583533646615,191,0
388,160,27,1.2157317115436643,7.653117552609626,3728,0
389,183,47,1.255350035806768,7.976460218513465,3726,0
390,150,31,1.1658298013054307,7.76745013708698,3724,0
391,142,25,1.1944461298738298,7.443597469624948,3725,0
392,133,20,1.1333676906525834,7.419528042089689,3723,0
393,16,4,1.8615438088642513,7.507459831868871,173,0
394,15,3,2.0721488651023243,7.314063962730226,177,0
395,188,41,1.2947179163062417,7.8906890871390685,3718,0
396,201,51,1.3539734534757837,7.859940072113456,3718,0
397,179,28,1.3180007287778532,7.933471883455392,3718,0
398,254,58,1.4450458835338515,8.2103611723963,3718,0
399,186,35,1.3648336567678863,7.618232453220687,3718,0
400,23,5,2.100605625203671,7.727642363890491,168,0
401,28,6,2.2666271778273703,7.214811285145495,172,0
402,254,52,1.4952258469943869,8.163959284362473,3718,1
403,160,26,1.3289943722068627,8.194608829108688,3717,1
404,132,28,1.3025529972886047,7.57669852554211,3716,1
405,128,18,1.2225224426066037,8.090576774404838,3714,1
406,108,18,1.1711713995957016,7.377844267330914,3713,1
407,18,4,2.049974086219029,7.188199500349653,174,0
408,29,7,2.31550258596578,7.183668760874359,168,0
409,107,20,1.172139064903423,7.763430705009354,3709,1
410,153,18,1.2485799863644877,7.603100502932504,3707,1
411,90,17,1.0980436474248787,7.604739099231394,3707,1
412,119,29,1.0770685503327833,7.441977864092567,3706,1
413,81,23,1.023526194078725,7.447425067151885,3705,1
414,24,5,2.2292460344797647,8.023429094089323,188,0
415,18,5,2.121783875526318,7.408727545963551,178,0
416,111,22,1.0285213800652202,7.513247884675892,3704,2
417,135,37,1.0906083967186164,7.38012527063758,3702,2
418,182,49,1.1850668133483226,8.29854486269792,3701,2
419,126,20,1.0632160944952156,7.748022069228292,3700,2
420,169,47,1.1771657667662714,7.5525346349049025,3699,2
421,56,25,2.8032153658709364,7.716454900052589,239,0
422,23,9,2.0512519476327307,7.612443439705074,171,0
423,171,50,1.1103482585730826,7.501081259860946,3697,2
424,203,54,1.239465697811181,8.179250323246919,3695,2
425,153,31,1.1347362576994757,7.923308624464099,3697,2
426,156,52,1.1139045874800382,7.77622647261066,3696,2
427,121,15,1.063777495088825,7.944007179773606,3696,2
428,25,6,2.026593269084947,6.994950145632177,178,0
429,25,7,2.107430513071625,7.737748596373517,183,0
430,187,36,1.2716466489849727,7.798607088889256,3695,1
431,115,23,1.1445374706141185,7.689756959332941,3694,1
432,157,38,1.2085792094742889,7.991335593293041,3693,1
433,143,37,1.198634761373549,8.102552768428026,3689,1
434,115,21,1.1040551501168787,7.506285542054716,3691,1
435,20,6,2.1448652893158004,7.541620267068608,172,0
436,20,4,2.083893075457455,7.54143426617163,167,0
437,114,27,1.1062442117520288,7.328603477956341,3686,1
438,163,33,1.2677707425936704,7.563455164908051,3685,1
439,124,16,1.1429932715346294,7.704020933935602,3684,1
440,173,27,1.2896271462979658,8.26888498291832,3684,1
441,173,41,1.2910091206818284,7.736025015322849,3681,1
442,49,25,2.5943635602987194,7.774844444539588,214,0
443,20,5,2.008316989851872,7.887276585517047,187,0
444,162,29,1.1995608530018267,7.237282027476794,3682,1
445,108,17,1.1182244444275378,8.919069764994415,3681,1
446,169,45,1.2294810004664125,7.747452339368235,3679,1
447,131,26,1.1303973567006231,7.604738117218956,3680,1
448,127,27,1.1688764043955462,7.715423809469679,3679,1
449,28,6,2.3408613250722174,6.783924364912735,175,0
450,24,4,2.067034079185435,7.0986358361254505,168,0
451,114,20,1.1452039137450287,7.685475958222704,3679,1
452,149,33,1.2543915456173855,8.862475895484582,3675,1
453,193,40,1.383567191087467,7.521434623268685,3674,1
454,138,27,1.265042895617023,7.395384453823724,3674,1
455,117,26,1.1787092866643774,7.39403460615815,3674,1
456,21,5,2.040630114958339,6.986483399774462,178,0
457,20,7,2.182479246405939,8.091956693714323,170,0
458,200,48,1.3746086564819122,8.394234265773324,3670,1
459,217,48,1.4075745401046307,7.976031714541839,3670,1
460,229,44,1.4305613884532813,7.809994317580897,3670,1
461,273,46,1.4834699380741823,7.684806311646288,3670,1
462,175,32,1.2968233880379914,7.801951887218044,3668,1
463,16,6,2.0321793242239155,7.4309925791656335,167,0
